,Positiveg,GDPg_past_ma5
1,0,
2,1,-0.3892264329345325
3,1,-0.11255516851754832
4,0,0.06406925416656344
5,0,0.014843503039740302
6,1,-0.007674891275211459
7,1,0.12195624619039047
8,1,0.13632164385292794
9,1,0.10489267432355805
10,1,0.18242280426045424
11,1,0.23652163616305638
12,1,0.20469079762894662
13,1,0.17686559689135012
14,1,0.1803292446291199
15,1,0.2110514550935605
16,1,0.19942691698496895
17,1,0.25400432240757637
18,1,0.29178672466207445
19,1,0.3066491834234759
20,0,0.2825898627421906
21,1,0.25503994303949595
22,1,0.20354991091640126
23,1,0.16128210189034134
24,1,0.1149173394574193
25,1,0.07951038372003753
26,1,0.091900557918876
27,1,0.09954250334411893
28,1,0.13791988399861332
29,1,0.18373625606192778
30,1,0.20894994263339775
31,1,0.23070069387707037
32,1,0.2333871033288888
33,1,0.19517848499324258
34,1,0.14625972653053276
35,1,0.13496481795980536
36,1,0.14986777314347127
37,0,0.13188295136678496
38,0,0.10358905186505478
39,1,0.017255386252009397
40,1,0.040690874349838715
41,0,0.02789560760502694
42,1,0.002609970370781234
43,1,0.04492195256380101
44,1,0.13442625286970428
45,1,0.10059788750204904
46,1,0.10471096919375802
47,1,0.13992224473609519
48,0,0.13352881706518116
49,0,0.08809856175763264
50,1,0.04260846961300373
