Year,Population
1960,34.06752396
1961,34.75128555
1962,35.26238251
1963,35.82453156
1964,36.47434998
1965,37.17456818
1966,37.91806793
1967,38.50091171
1968,39.06388855
1969,39.7148819
1970,40.47431946
1971,40.51125717
1972,40.32933807
1973,40.22225952
1974,40.17348862
1975,40.17090607
1976,39.76451492
1977,39.26780319
1978,38.84002686
1979,38.46598816
1980,38.12627792
1981,37.50817108
1982,36.78398895
1983,36.13978577
1984,35.63185501
1985,35.25715637
1986,34.78521729
1987,34.30742645
1988,33.89279556
1989,33.53131104
1990,33.22414398
1991,32.51214218
1992,31.58926773
1993,30.71341324
1994,29.87483788
1995,29.06972885
1996,28.42815971
1997,27.86635208
1998,27.37568855
1999,26.89722633
2000,26.39464188
2001,26.01029205
2002,25.72708321
2003,25.46454239
2004,25.23683929
2005,25.05999184
2006,24.85830688
2007,24.688797
2008,24.45853996
2009,24.28985023
2010,24.1266098
2011,23.97682381
2012,23.92554474
2013,23.89108467
2014,23.81554604
2015,23.7645092
2016,23.74433708
2017,23.74791908
2018,23.71094131
2019,23.6343956
2020,23.60898209
2021,23.61505127
